"299","jacquelinerousseaux","MR","236","Jacqueline","Rousseaux","1950-05-21","Bruxelles","Brussels Parliament"
"300","francoiseschepmans","MR","237","Françoise","Schepmans","1960-06-18","Molenbeek-Saint-Jean","Mayor"
"301","fatoumatasidibe","DéFI","238","Fatoumata","Sidibé","1963-06-18","Saint-Gilles","Brussels Parliament"
"302","vivianeteitelbaum","MR","3343","Viviane","Teitelbaum","1955-10-16","Ixelles","Brussels Parliament"
"303","erictomas","PS","240","Eric","Tomas","1948-05-16","Bruxelles","Mayor"
"304","barbaratrachte","ECOLO","241","Barbara","Trachte","1981-03-03","Schaerbeek","Province or municipal councillor"
"305","gaetanvangoidsenhoven","MR","858","Gaëtan","Van Goidsenhoven","1973-10-02","Anderlecht","Alderman (or Chair of CPAS)"
"306","fouadahidar","sp.a","243","Fouad","Ahidar","1973-10-13","Bruxelles",\N
"307","elsampe","Open VLD","244","Els","Ampe","1979-01-18","Brussel","Brussels Parliament"
"308","sophiebrouhon","sp.a","245","Sophie","Brouhon","1972-02-07","Brussel",""
"309","renecoppens","Open VLD","246","René","Coppens","1943-02-16","Ganshoren","Brussels Parliament"
"310","brigittedepauw","CD&V","247","Brigitte","De Pauw","1958-08-12","Jette","Alderman (or Chair of CPAS)"
"311","paulderidder","N-VA","248","Paul","De Ridder","1948-08-20","Brussel",\N
"312","biancadebaets","CD&V","595","Bianca","Debaets","1973-02-06","Brussel","Brussels Goverment"
"313","carladejonghe","Open VLD","250","Carla","Dejonghe","1966-08-25","Sint-Pieters-Woluwe","Brussels Parliament"
"314","johandemol","Independent","251","Johan","Demol","1957-06-09","Schaarbeek",""
